tool	CBMC 	CBMC 	CBMC 	CBMC 	CPAchecker 1.4-svn 18912M	CPAchecker 1.4-svn 18912M	CPAchecker 1.4-svn 18912M	CPAchecker 1.4-svn 18912M
run set	cbmc	cbmc	cbmc	cbmc	predicateAnalysis.ABEl	predicateAnalysis.ABEl	predicateAnalysis.ABEl	predicateAnalysis.ABEl
test/programs/benchmarks/	status	cputime	walltime	memUsage	status	cputime	walltime	memUsage
ntdrivers/kbfiltr_false-unreach-call.i.cil.c	TIMEOUT	60.092660997	60.08262658119202	573120512	false(reach)	10.802769307	6.081921339035034	219049984
ntdrivers/parport_false-unreach-call.i.cil.c	false(reach)	12.973295797	13.312453746795654	676438016	ERROR (recursion)	10.215003701	5.93793511390686	248709120
ntdrivers/cdaudio_true-unreach-call.i.cil.c	TIMEOUT	60.087701827	60.36625409126282	992849920	true	16.979967005	9.182756900787354	295165952
ntdrivers/diskperf_true-unreach-call.i.cil.c	TIMEOUT	60.16850488	60.147191286087036	3500752896	true	15.658174815	8.889805555343628	273440768
ntdrivers/floppy_true-unreach-call.i.cil.c	TIMEOUT	60.01963848	60.35510444641113	390643712	true	35.588045597	20.206343412399292	1256415232
ntdrivers/parport_true-unreach-call.i.cil.c	TIMEOUT	61.056848841	61.702879905700684	2175901696	ERROR (recursion)	9.851227928	6.134266138076782	251346944
ssh/s3_clnt.blast.01_true-unreach-call.i.cil.c	TIMEOUT	60.074326765	60.120521068573	702951424	true	20.572045016	12.06445050239563	676163584
ssh/s3_clnt.blast.02_true-unreach-call.i.cil.c	TIMEOUT	60.045732969	60.49468970298767	654196736	true	21.046643446	11.781404495239258	664576000
ssh/s3_clnt.blast.03_true-unreach-call.i.cil.c	TIMEOUT	60.051921303	60.406805992126465	654397440	true	18.391569158	10.197882413864136	406609920
ssh/s3_clnt.blast.04_true-unreach-call.i.cil.c	TIMEOUT	60.048358659	60.438863039016724	656076800	true	16.79173665	9.564430713653564	396042240
ssh/s3_srvr.blast.01_true-unreach-call.i.cil.c	TIMEOUT	60.041330401	60.398273944854736	843345920	true	37.063186558	21.51853919029236	1238630400
ssh/s3_srvr.blast.02_true-unreach-call.i.cil.c	TIMEOUT	60.040039615	60.39540433883667	796418048	true	34.262128426	18.36143398284912	704581632
ssh/s3_srvr.blast.06_true-unreach-call.i.cil.c	TIMEOUT	60.08266345	60.395188093185425	783564800	true	23.612995571	13.572166442871094	674373632
ssh/s3_srvr.blast.07_true-unreach-call.i.cil.c	TIMEOUT	60.02559213	60.478689432144165	811438080	true	32.856355176	18.071974992752075	701726720
ssh/s3_srvr.blast.08_true-unreach-call.i.cil.c	TIMEOUT	60.103748671	60.17094540596008	799137792	true	48.05946917	31.079219579696655	2902929408
ssh/s3_srvr.blast.09_true-unreach-call.i.cil.c	TIMEOUT	60.037022598	60.386581897735596	816816128	true	27.630450578	15.716722249984741	722419712
ssh/s3_srvr.blast.10_true-unreach-call.i.cil.c	TIMEOUT	60.038241479	60.39663076400757	796602368	true	30.259228891	16.432743072509766	687980544
ssh/s3_srvr.blast.12_true-unreach-call.i.cil.c	TIMEOUT	60.062430583	60.11725926399231	803172352	true	37.969951736	22.956244230270386	1736425472
ssh/s3_srvr.blast.13_true-unreach-call.i.cil.c	TIMEOUT	60.065674452	60.111292600631714	816447488	OUT OF MEMORY	51.173798038	37.875956535339355	4000002048
ssh/s3_srvr.blast.14_true-unreach-call.i.cil.c	TIMEOUT	60.061895485	60.10968255996704	803966976	true	54.722927255	38.01971220970154	2912804864
ssh/s3_srvr.blast.15_true-unreach-call.i.cil.c	TIMEOUT	60.77946326	61.52742862701416	801054720	true	34.491085816	19.874998092651367	1230516224
ssh/s3_srvr.blast.16_true-unreach-call.i.cil.c	TIMEOUT	60.041905289	60.13985848426819	807804928	true	26.969318489	14.77264666557312	699920384
