tool	CBMC 	CBMC 	CBMC 	CBMC 	CPAchecker 1.4-svn 18912M	CPAchecker 1.4-svn 18912M	CPAchecker 1.4-svn 18912M	CPAchecker 1.4-svn 18912M
run set	cbmc	cbmc	cbmc	cbmc	predicateAnalysis.ABEl	predicateAnalysis.ABEl	predicateAnalysis.ABEl	predicateAnalysis.ABEl
test/programs/benchmarks/	status	cputime (s)	walltime (s)	memUsage (MB)	status	cputime (s)	walltime (s)	memUsage (MB)
ntdrivers/cdaudio_false-unreach-call.i.cil.c	TIMEOUT	60.09630458	60.07749915122986	986.857472	TIMEOUT	60.659510312	38.78497123718262	3069.255680
ntdrivers/diskperf_false-unreach-call.i.cil.c	false(reach)	1.240757859	1.2597875595092773	104.386560	false(reach)	15.758452461	8.997681379318237	256.053248
ntdrivers/floppy_false-unreach-call.i.cil.c	false(reach)	3.096028302	3.1074421405792236	139.542528	false(reach)	21.99048641	11.898617506027222	438.968320
ntdrivers/kbfiltr_false-unreach-call.i.cil.c	TIMEOUT	60.092660997	60.08262658119202	573.120512	false(reach)	10.802769307	6.081921339035034	219.049984
ntdrivers/parport_false-unreach-call.i.cil.c	false(reach)	12.973295797	13.312453746795654	676.438016	ERROR (recursion)	10.215003701	5.93793511390686	248.709120
ntdrivers/cdaudio_true-unreach-call.i.cil.c	TIMEOUT	60.087701827	60.36625409126282	992.849920	true	16.979967005	9.182756900787354	295.165952
ntdrivers/diskperf_true-unreach-call.i.cil.c	TIMEOUT	60.16850488	60.147191286087036	3500.752896	true	15.658174815	8.889805555343628	273.440768
ntdrivers/floppy2_true-unreach-call.i.cil.c	TIMEOUT	60.108787107	60.003472089767456	989.302784	TIMEOUT	60.920091904	39.68004822731018	3014.647808
ntdrivers/floppy_true-unreach-call.i.cil.c	TIMEOUT	60.01963848	60.35510444641113	390.643712	true	35.588045597	20.206343412399292	1256.415232
ntdrivers/parport_true-unreach-call.i.cil.c	TIMEOUT	61.056848841	61.702879905700684	2175.901696	ERROR (recursion)	9.851227928	6.134266138076782	251.346944
ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c	false(reach)	11.632186042	11.959893941879272	411.250688	false(reach)	15.226064481	8.34682559967041	267.935744
ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c	false(reach)	3.787719608	4.14628791809082	181.800960	false(reach)	17.115068493	9.609370708465576	270.163968
ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c	false(reach)	3.782608387	3.8162121772766113	181.514240	false(reach)	16.717632323	9.32370662689209	268.750848
ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c	false(reach)	3.773216768	3.792773962020874	180.371456	false(reach)	15.790002181	8.978899002075195	269.352960
ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c	false(reach)	4.913394812	4.938821077346802	242.040832	false(reach)	10.469575171	6.198892593383789	197.242880
ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c	false(reach)	4.874497296	4.895945310592651	228.581376	false(reach)	10.58628848	5.98084831237793	253.190144
ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c	false(reach)	4.885302049	4.904986619949341	228.601856	false(reach)	9.786538705	5.556999683380127	249.270272
